stock_id,symbol,isin,first_seen
164,BALRAMCHIN,INE119A01028,2026-09-07
10960,BALUFORGE,INE011E01029,2026-09-07
165,BANARBEADS,INE655B01011,2026-09-07
166,BANARISUG,INE459A01010,2026-09-07
167,BANCOINDIA,INE213C01025,2026-09-07
168,BANDHANBNK,INE545U01014,2026-09-07
169,BANG,INE863I01016,2026-09-07
1384505,BANK10ADD,,2026-09-07
1611149,BANK10BETF,,2026-09-07
10164,BANKA,INE862Y01015,2026-09-07
1235668,BANKADD,,2026-09-07
170,BANKBARODA,INE028A01039,2026-09-07
171,BANKBEES,,2026-09-07
1252272,BANKBETA,,2026-09-07
275838,BANKBETF,,2026-09-07
41682,BANKETF,,2026-09-07
299154,BANKETFADD,,2026-09-07
225355,BANKIETF,,2026-09-07
172,BANKINDIA,INE084A01016,2026-09-07
342134,BANKNIFTY1,,2026-09-07
613366,BANKPSU,,2026-09-07
11302,BANSALWIRE,INE0B9K01025,2026-09-07
173,BANSWRAS,INE629D01020,2026-09-07
12022,BARBEQUE,,2026-09-07
174,BASF,INE373A01013,2026-09-07
175,BASML,INE186H01022,2026-09-07
176,BATAINDIA,INE176A01028,2026-09-07
10880,BATLIBOI,INE177C01022,2026-09-07
177,BAYERCROP,INE462A01022,2026-09-07
12027,BBETF0432,,2026-09-07
178,BBL,INE464A01036,2026-09-07
470066,BBNPNBETF,,2026-09-07
223553,BBNPPGOLD,,2026-09-07
10732,BBOX,INE676A01027,2026-09-07
179,BBTC,INE050A01025,2026-09-07
10739,BBTCL,INE01EE01011,2026-09-07
180,BCG,INE425B01027,2026-09-07
9784,BCLIND,INE412G01024,2026-09-07
10994,BCONCEPTS,INE977Y01011,2026-09-07
181,BCP,,2026-09-07
10988,BCPL,INE00SW01015,2026-09-07
182,BDL,INE171Z01026,2026-09-07
183,BEARDSELL,INE520H01022,2026-09-07
9840,BECTORFOOD,INE495P01020,2026-09-07
184,BEDMUTHA,INE844K01012,2026-09-07
9642,BEEKAY,INE213D01015,2026-09-07
185,BEL,INE263A01024,2026-09-07
11196,BELLACASA,INE344T01014,2026-09-07
11381,BELRISE,INE894V01022,2026-09-07
186,BEML,INE258A01024,2026-09-07
9701,BENARAS,INE664D01019,2026-09-07
11238,BENGALASM,INE083K01017,2026-09-07
187,BEPL,INE922A01025,2026-09-07
188,BERGEPAINT,INE463A01038,2026-09-07
9870,BESTAGRO,INE052T01021,2026-09-07
11812,BETA,INE351Y01019,2026-09-07
189,BFINVEST,INE878K01010,2026-09-07
87783,BFSI,,2026-09-07
190,BFUTILITIE,INE243D01012,2026-09-07
191,BGRENERGY,INE661I01014,2026-09-07
9657,BHAGCHEM,INE414D01027,2026-09-07
192,BHAGERIA,INE354C01027,2026-09-07
193,BHAGYANGR,INE458B01036,2026-09-07
194,BHAGYAPROP,,2026-09-07
195,BHANDARI,INE474E01029,2026-09-07
11160,BHARATCOAL,INE05XR01022,2026-09-07
196,BHARATFORG,INE465A01025,2026-09-07
197,BHARATGEAR,INE561C01019,2026-09-07
198,BHARATRAS,INE838B01021,2026-09-07
11359,BHARATSE,INE415D01024,2026-09-07
199,BHARATWIRE,INE316L01019,2026-09-07
200,BHARTIARTL,INE397D01024,2026-09-07
10235,BHARTIHEXA,INE343G01021,2026-09-07
201,BHEL,INE257A01026,2026-09-07
11093,BI,INE986A01012,2026-09-07
202,BIGBLOC,INE412U01025,2026-09-07
11157,BIKAJI,INE00E101023,2026-09-07
203,BIL,INE828A01016,2026-09-07
204,BILENERGY,,2026-09-07
11593,BILVYAPAR,INE071A01013,2026-09-07
10196,BIMETAL,INE469A01019,2026-09-07
386300,BINANIIND,,2026-09-07
205,BINDALAGRO,,2026-09-07
206,BIOCON,INE376G01013,2026-09-07
207,BIOFILCHEM,INE829A01014,2026-09-07
208,BIRLACABLE,INE800A01015,2026-09-07
209,BIRLACORPN,INE340A01012,2026-09-07
210,BIRLAMONEY,INE865C01022,2026-09-07
11043,BIRLANU,INE557A01011,2026-09-07
9758,BIRLAPREC,INE372E01025,2026-09-07
211,BIRLATYRE,,2026-09-07
1696535,BKMINDST,,2026-09-07
9700,BLACKBUCK,INE0UIZ01018,2026-09-07
11748,BLACKROSE,INE761G01016,2026-09-07
11324,BLAL,INE0N7W01012,2026-09-07
212,BLBLIMITED,INE791A01024,2026-09-07
10688,BLEL,INE1EEM01017,2026-09-07
